Id	Title	State	Submitter	Primary authors	Accepted track	Submitted for tracks	Reviewed for tracks
386	How predictive cosmological theories are?	Accepted	Konstantin Astapov	Slava Mukhanov			
384	No-signaling and relativistic causality: quantum information perspective	Accepted	Victoria Volkova	Pawel Horodecki		C Quantum Physics, Quantum Optics and Quantum Information	C Quantum Physics, Quantum Optics and Quantum Information
164	The Bell's theorem revisited: a subtle, though crucial, assumption has gone unnoticed, and it might not be justified!	Accepted	David H Oaknin	David Oaknin		Workshop on Quantum Foundations and Quantum Information; D Cosmology, Astrophysics, Gravity, Mathematical Physics	Workshop on Quantum Foundations and Quantum Information; D Cosmology, Astrophysics, Gravity, Mathematical Physics
299	Universal gate design with beamsplitters and phase shifters	Accepted	Sergey Mironov	Sergey Mironov		C Quantum Physics, Quantum Optics and Quantum Information	C Quantum Physics, Quantum Optics and Quantum Information
26	Particle production in modified gravity in the early and in the present day universe	Accepted	Elena Arbuzova	Elena Arbuzova		D Cosmology, Astrophysics, Gravity, Mathematical Physics	D Cosmology, Astrophysics, Gravity, Mathematical Physics
238	New data on old black holes and other unexpected creatures	Accepted	Alexander Dolgov	Alexander Dolgov		A High Energy Particle Physics; D Cosmology, Astrophysics, Gravity, Mathematical Physics	A High Energy Particle Physics; D Cosmology, Astrophysics, Gravity, Mathematical Physics
166	ATLAS results on quarkonia and heavy flavour production	Accepted	Tatiana Lyubushkina	Tatiana Lyubushkina		A High Energy Particle Physics	A High Energy Particle Physics
312	Measurements of ttbar pairs produced in association with electroweak gauge bosons using the ATLAS detector	Accepted	Ekaterina Kriukova	Paul Glaysher		A High Energy Particle Physics	A High Energy Particle Physics
35	ATLAS Muon Trigger performance	Accepted	Masato Aoki	Andrea Ventura		Other Topics; A High Energy Particle Physics; Mini Workshop on Instruments and Methods in HEP	Other Topics; A High Energy Particle Physics; Mini Workshop on Instruments and Methods in HEP
43	Search for critical effects in NA61/SHINE	Accepted	Magdalena Kuich	Magdalena Kuich		B Heavy Ion Collisions and Critical Phenomena; Workshop on Heavy Ion Physics; A High Energy Particle Physics; Workshop on Physics at FAIR-NICA-SPS-BES/RHIC	B Heavy Ion Collisions and Critical Phenomena; Workshop on Heavy Ion Physics; A High Energy Particle Physics; Workshop on Physics at FAIR-NICA-SPS-BES/RHIC
