Id	Title	Description	Date	Duration	Type	Session	Track	Presenters	Materials
7	Strangeness production with ALICE at the LHC	The main goal of the ALICE experiment is to study the physics of strongly interacting matter under extremely high temperature and energy density conditions to investigate the properties of the Quark-Gluon plasma (QGP). The enhanced production of strange hadrons with respect to non-strange particles was historically considered as one of the signatures of QGP formation during the evolution of the system created in heavy-ion collisions. The excellent tracking and particle identification capabilities of the ALICE experiment allow the reconstruction of multi-strange baryons via their weak decay channels over a large range of transverse momentum. In this talk the yields and the relative production rates of strange and multi-strange particles normalized to pions measured in pp, p-Pb, Pb-Pb and Xe-Xe collisions will be presented as a function of particle multiplicity. The strangeness production dependence on the collision energy will also be shown. Results will be compared to QCD-inspired and statistical hadronization model predictions.    .	2019-08-26 08:30:00+00:00	30 minutes	Oral Presentation	Workshop on Heavy Ion Physics		Maria Vasileiou	
13	Targeted cancer therapy with the alpha emitter actinium-225	The targeted treatment of cancerous tumors by alpha-emitting radionuclides has shown remarkable efficacy in recent clinical trials [1]. It is likely that this treatment option will ultimately be applicable to a wide range of cancers and other diseases, subject to the development of specific carrier molecules.  Currently Ac-225 is being produced from natural ingrowth in existing stocks of Th-229. However, future wide application for radiotherapy will require many orders of magnitude more radionuclide than can currently be produced. Consequently, following up on earlier work at the European Commission's Joint Research Centre (JRC) [2], we are pursuing various alternative production methods. In this paper, an overview of internal radiotherapy with alpha emitters is given, along with recent clinical experience, as well as possible schemes for the large-scale production of Ac-225 using different target materials and irradiation facilities.    [1] A. Morgenstern et al., “An overview of targeted alpha therapy with 225actinium and 213bismuth,” Curr. Radiopharm. 11 (2018) 200.    [2] C. Apostolidis et al., “Cyclotron production of Ac-225 for targeted alpha therapy,” Appl. Radiat. Isot. 62 (2005) 383.	2019-08-22 12:30:00+00:00	30 minutes	Oral Presentation	Parallel Session		Alban Kellerbauer	
15	Directional Dark Matter Search with Nuclear Emulsion	A variety of experiments have been developed over the past decades, aiming to detect Weakly Interactive Massive Particles (WIMPs) via their scattering in a detector medium. The  sensitivity  of  these  experiments  has improved  with  a  tremendous  speed  due  to  a  constant  development  of  the  detectors and analysis methods. Detectors that are able to reconstruct the direction of the nucleus recoiling against the scattering WIMP are opening a new frontier to possibly extend Dark Matter searches beyond the neutrino background. Exploiting directionality would also give a proof of the galactic origin of dark matter making it possible to have a clear and unambiguous signal to background separation.  The NEWSdm experiment, based on nuclear emulsions, is proposed to measure the direction of WIMP-induced nuclear recoils. We discuss  the potentiality, both in terms of exclusion limits and potential discovery, of a directional experiment based on the use of a solid target made by newly developed nuclear emulsions and read-out systems reaching sub-micrometric resolution. We also report results of the test exposure conducted in Gran Sasso last year.	2019-08-26 13:50:00+00:00	20 minutes	Oral Presentation	Parallel Session		Antonia Di Crescenzo	
17	Developments for pulsed antihydrogen production towards direct gravitational measurement on antimatter	A main scientific goal of the $AE\bar{g}IS$ experiment is the direct measurement of the Earth's local gravitational acceleration $g$ on antihydrogen. The weak equivalence principle is a foundation of General Relativity. It has been extensively tested with ordinary matter but very little is known about the gravitational interaction between matter and antimatter. Antihydrogen is produced in $AE\bar{g}IS$ via resonant charge exchange reactions between cold Rydberg-excited positronium and cooled down antiprotons. The  achievements towards the development of a pulsed cold antihydrogen source are presented.     Large number of antiprotons, necessary for a significant production rate of antihydrogen, are captured, accumulated, compressed and cooled down over an extended period of time. Positronium (Ps) is formed through $e^+$-Ps conversion in a silica porous target at 10 K temperature in a reflection geometry inside the main apparatus. The so-formed Ps cloud is then laser-excited to Rydberg levels leading to the first Ps laser excitation to the Rydberg levels in a 1T magnetic field and to the detailed characterisation of the Ps source for antihydrogen production.     Several detection techniques are extensively used to monitor antiproton and positron manipulations in the formation process of antihydrogen inside the main apparatus. Positronium detection techniques underwent extensive improvements in sensitivity in 2018. At the same time, major efforts to improve integrate and commission the various detector sensitive to antihydrogen production took place. These include an array of external scintillators and a scintillating fiber based tracking detector. Measurements based on this improved detection system will be presented.	2019-08-26 12:40:00+00:00	20 minutes	Oral Presentation	Parallel Session		Mattia Fanì	
21	Optics and magnetic fields for fundamental physics	In recent years precision optics together with strong magnetic fields have become key ingredients for fundamental physics experiments searching, for example, for vacuum magnetic birefringence and for axions and/or axion-like particles. Vacuum magnetic birefringence (polarisation dependent refractive index) is a macroscopic non-linear electrodynamic effect in vacuum predicted as a consequence of the formulation of the Euler-Kockel-Heisenberg effective Lagrangian, first proposed in 1935, which takes into account electron-positron fluctuations. A direct laboratory observation of vacuum magnetic birefringence is still lacking today due to its minute value: ∆n = 4x10e-24 @ B = 1T. Axions and axion-like particles are light neutral hypothetical bosons which could couple to two photons through the Primakoff effect. The existence of these hypothetical particles could solve the strong CP problem and are good dark matter candidates. I will describe some recent experimental results and proposals regarding these two areas of research. Key experimental ingredients in such researches are a Fabry-Perot interferometer, an intense magnetic field and a time-dependent effect.	2019-08-23 12:00:00+00:00	30 minutes	Oral Presentation	Workshop on Future of Fundamental Physics		Guido Zavattini	
22	Final results of the CUPID-0 Phase I experiment	A convincing observation of neutrino-less double beta decay (0νDBD) relies on the possibility of operating high-energy resolution detectors in background-free conditions.    Scintillating cryogenic calorimeters are one of the most promising tools to fulfill the requirements for a next-generation experiment. Several steps have been taken to demonstrate the maturity of this technique, starting form the successful experience of CUPID-0.    The CUPID-0 experiment collected 10 kg*y of exposure, running 26 Zn82Se crystals during two years of continuous detector operation. The complete rejection of the dominant alpha background was demonstrated, measuring the lowest counting rate in the region of interest for this technique. Furthermore, the most stringent limit on the Se-82 0νDBD was established.    In this contribution we present the final results of CUPID-0 Phase I, including a detailed model of the background and the measurement of the 2νDBD half-life.	2019-08-22 08:30:00+00:00	30 minutes	Oral Presentation	Workshop on Astro-Cosmo-Gravity		Chiara Brofferio	https://indico.cern.ch/event/754973/contributions/3535393/attachments/1895827/3127719/Brofferio_ICNFP_2019.pdf
25	Measurement of $\rm D$-meson production and flow in Pb-Pb collisions with ALICE at the LHC	Open-charmed mesons are unique tools to study the properties of the Quark-Gluon Plasma (QGP) formed in ultra-relativistic nucleus-nucleus collisions. Charm quarks, due to their large mass, are produced in hard partonic scattering processes in the initial stages of the collision. Therefore, they experience all the phases of the QGP evolution propagating through the medium and interacting with its constituents.    The measurement of $\rm D$-meson nuclear modification factor $R_{\rm AA}$, defined as the ratio of the measured yield in nucleus-nucleus collisions to the one in proton-proton interactions scaled by the average number of binary nucleon-nucleon collisions, provides information on the interactions of charm quarks with the medium, in particular on their energy loss. The study of $\rm D$-meson elliptic flow, the second-harmonic coefficient of the Fourier decomposition of the particle momentum-azimuthal distribution with respect to the reaction plane, at low transverse momentum $p_{\rm T}$ can give insight into the participation of charm quarks in the collective expansion of the system and their possible thermalization in the medium. At high $p_{\rm T}$ it allows us to assess the path-length dependence of parton energy loss. These two observables can also shed light on possible modifications of charm-quark hadronization in the medium. In fact, the comparison of the yields  of $\rm D$-meson species with and without strange-quark content permits us to study the role of the recombination mechanism for charm quarks.      In this talk, the latest results on the $p_{\rm T}$-differential $R_{\rm AA}$ and flow of $\rm D^0$, $\rm D^+$, $\rm D^{*+}$ and $\rm D_s^+$ mesons measured at mid-rapidity in Pb-Pb collisions at $\sqrt{s_{\rm NN}} = 5.02$ TeV obtained by the ALICE Collaboration will be presented for different centrality classes. The measurements exploit the large data sample collected with ALICE at the end of 2018 and also improved analysis methods based on machine learning techniques. The comparison of the results with model predictions will be discussed as well.	2019-08-24 08:25:00+00:00	25 minutes	Oral Presentation	Parallel Session		Fabio Catalano	
26	Particle production in modified gravity in the early and in the present day universe	Gravitational equations of motion in modified theories of gravity have oscillating solutions, both in the early and in the present day universe. Particle production by such oscillations is analysed and possible observational consequences are considered. This phenomenon has impact on energy spectrum of cosmic rays and abundance of dark matter particles.	2019-08-28 14:00:00+00:00	30 minutes	Oral Presentation	Parallel Session		Elena Arbuzova	
32	Recent results from LHCb	In this talk we will highlight recent results from LHCb with a focus on measurements of CP violation in b and c decays and measurements testing Lepton Flavor Universality at LHCb .    The most recent results on CP violation in the decay, mixing and interference of both b and c hadrons obtained by the LHCb Collaboration with Run I and years 2015-2016 of Run II are reviewed. In particular world best constraints and world first measurements are provided for CKM elements, unitarity angles and charm parameters.    The concept of lepton universality, where the muon and tau particles are simply heavier copies of the electron, is a key prediction in the Standard Model (SM). In models beyond the SM, lepton universality can be naturally violated with new physics particles that couple preferentially to the second and third generation leptons. Over the last few years, several hints of lepton universality violation have been seen in both b->c and b->s semileptonic beauty decays. This presentation will review these anomalies and give an outlook for the near future. Other probes of NP in highly suppressed b-hadron decays will also be discussed.	2019-08-26 06:00:00+00:00	30 minutes	Oral Presentation	LHC Plenary Session		Stefania Vecchi	
34	ATLAS Transverse Missing Momentum Trigger Performance	Transverse missing momentum from non-interacting particles is one of the important characteristics for many analyses especially for Beyond Standard Model physics searches. To study these events at the Large Hadron Collider (LHC) with the ATLAS experiment an efficient trigger selection is needed. The ATLAS transverse missing momentum trigger uses calorimeter-based global energy sums together with specifically developed pile-up mitigation techniques. The high number of pile-up interactions was one of the major challenges faced during Run 2 and a continuous effort was needed to improve the pile-up rejection and to keep the trigger rate reasonable. This talk presents the techniques used to improve the Run 2 transverse missing momentum trigger performance, the full Run 2 performance and an outlook on further improvements for Run 3.	2019-08-26 15:30:00+00:00	25 minutes	Oral Presentation	Mini Workshop on Instruments and Methods in HEP		Gabriel Gallardo	
